Abrán Aibreán
billín millín
bimbealóir buimbiléir
binbhe binb
bindeal bindealán
binib binb
binn beann
binne binneas
binneach beannach
binneacht binneas
binnteacha beanna
binnteacha binne
binseach minseach
biodach miodóg
biodóg miodóg
biolam miolam
biolra biolar
bionglán beangán
biorach bearach
bioraitheoir bioróir
biorar biolar
biorgadán briogadán
biorghaoithe biorghathanna
biortha beirthe
biorán bearrán
bioránach bearránach
bioth bith
biotáilte biotáille
bireanta bioranta
birréad bairéad
birte birt
biríneach muiríneach
bith beith
bithbhineach bithiúnach
bithiúntacht bithiúntas
bithiúntaíl bithiúntas
bithiúntaíocht bithiúntas
bithniúr beathnua
bithnua beathnua
bithé beithé
bitse bitseach
bitsíocht bitseachas
blab bloba
blab plab
blabhas blús
bladarach bladrach
bladartha bladrach
bladarálaí bladaire
bladhgaire bladhmaire
